"date","day","time","name","cap"
"2021-09-23","Thursday","12:30","EastDeck2/3",14
"2021-09-23","Thursday","12:30","NorthDeck",35
"2021-09-23","Thursday","12:30","SouthVillageDeck",56
"2021-09-23","Thursday","12:30","UnionDeckLower",30
"2021-09-23","Thursday","12:30","UnionDeckUpper",17
"2021-09-23","Thursday","12:30","WestDeck",33
"2021-09-23","Thursday","13:00","ConeDeckFaculty/Staff",47
"2021-09-23","Thursday","13:00","ConeDeckVisitor",16
"2021-09-23","Thursday","13:00","CRIDeck",9
"2021-09-23","Thursday","13:00","EastDeck1",27
"2021-09-23","Thursday","13:00","EastDeck2/3",16
"2021-09-23","Thursday","13:00","NorthDeck",35
"2021-09-23","Thursday","13:00","SouthVillageDeck",56
"2021-09-23","Thursday","13:00","UnionDeckLower",34
"2021-09-23","Thursday","13:00","UnionDeckUpper",19
"2021-09-23","Thursday","13:00","WestDeck",35
"2021-09-23","Thursday","13:30","ConeDeckFaculty/Staff",49
"2021-09-23","Thursday","13:30","ConeDeckVisitor",17
"2021-09-23","Thursday","13:30","CRIDeck",9
"2021-09-23","Thursday","13:30","EastDeck1",27
"2021-09-23","Thursday","13:30","EastDeck2/3",17
"2021-09-23","Thursday","13:30","NorthDeck",35
"2021-09-23","Thursday","13:30","SouthVillageDeck",56
"2021-09-23","Thursday","13:30","UnionDeckLower",33
"2021-09-23","Thursday","13:30","UnionDeckUpper",23
"2021-09-23","Thursday","13:30","WestDeck",36
"2021-09-23","Thursday","14:00","ConeDeckFaculty/Staff",49
"2021-09-23","Thursday","14:00","ConeDeckVisitor",16
"2021-09-23","Thursday","14:00","CRIDeck",9
"2021-09-23","Thursday","14:00","EastDeck1",27
"2021-09-23","Thursday","14:00","EastDeck2/3",17
"2021-09-23","Thursday","14:00","NorthDeck",35
"2021-09-23","Thursday","14:00","SouthVillageDeck",55
"2021-09-23","Thursday","14:00","UnionDeckLower",33
"2021-09-23","Thursday","14:00","UnionDeckUpper",24
"2021-09-23","Thursday","14:00","WestDeck",36
"2021-09-23","Thursday","14:30","ConeDeckFaculty/Staff",49
"2021-09-23","Thursday","14:30","ConeDeckVisitor",16
"2021-09-23","Thursday","14:30","CRIDeck",8
"2021-09-23","Thursday","14:30","EastDeck1",26
"2021-09-23","Thursday","14:30","EastDeck2/3",17
"2021-09-23","Thursday","14:30","NorthDeck",34
"2021-09-23","Thursday","14:30","SouthVillageDeck",54
"2021-09-23","Thursday","14:30","UnionDeckLower",33
"2021-09-23","Thursday","14:30","UnionDeckUpper",24
"2021-09-23","Thursday","14:30","WestDeck",34
"2021-09-23","Thursday","15:00","ConeDeckFaculty/Staff",48
"2021-09-23","Thursday","15:00","ConeDeckVisitor",12
"2021-09-23","Thursday","15:00","CRIDeck",8
"2021-09-23","Thursday","15:00","EastDeck1",26
"2021-09-23","Thursday","15:00","EastDeck2/3",16
"2021-09-23","Thursday","15:00","NorthDeck",33
"2021-09-23","Thursday","15:00","SouthVillageDeck",53
"2021-09-23","Thursday","15:00","UnionDeckLower",32
"2021-09-23","Thursday","15:00","UnionDeckUpper",24
"2021-09-23","Thursday","15:00","WestDeck",34
"2021-09-23","Thursday","15:30","ConeDeckFaculty/Staff",46
"2021-09-23","Thursday","15:30","ConeDeckVisitor",10
"2021-09-23","Thursday","15:30","CRIDeck",8
"2021-09-23","Thursday","15:30","EastDeck1",26
"2021-09-23","Thursday","15:30","EastDeck2/3",15
"2021-09-23","Thursday","15:30","NorthDeck",32
"2021-09-23","Thursday","15:30","SouthVillageDeck",51
"2021-09-23","Thursday","15:30","UnionDeckLower",32
"2021-09-23","Thursday","15:30","UnionDeckUpper",23
"2021-09-23","Thursday","15:30","WestDeck",34
"2021-09-23","Thursday","16:00","ConeDeckFaculty/Staff",43
"2021-09-23","Thursday","16:00","ConeDeckVisitor",9
"2021-09-23","Thursday","16:00","CRIDeck",10
"2021-09-23","Thursday","16:00","EastDeck1",25
"2021-09-23","Thursday","16:00","EastDeck2/3",14
